sha256,bytes,canonical_path,selected_source,selected_source_path,source_copy_count
282f3bff41d808886aee9c696bf36b8d8cbc316276f62b6aac51a63f49abbd17,4324608,music/alban_gogh-quot-house-music-beat-quot-deep-house-494998.mp3,repo,assets/music/alban_gogh-quot-house-music-beat-quot-deep-house-494998.mp3,2
287947205c72eb6a234016231bdc3c9681fc000645c834bdbc505c69a52558bf,9857985,audio/syouki_takahashi-royal-sweet-honey-467114.mp3,repo,audio/syouki_takahashi-royal-sweet-honey-467114.mp3,2
28e0163a6bb1fdc058916fa7449b90cc196eaae28d20937a0d308cb24ff3bc11,31543349,legacy-projects/remotion/clips/ep01/b-roll-02.mp4,legacy,remotion/public/clips/ep01/b-roll-02.mp4,1
2c95ba64e74d3445d70b3b2c305c881936fa18cb1de541b0002d26d94a8a7b7f,589875,clips/ep01/ep01-at-digital-life.jpg,repo,clips/ep01/ep01-at-digital-life.jpg,2
2ce8caa44b39d297b6043b237a12b076db0148fb8ea81f4b66f3dc6b6cde03e9,694329,branding/character_reference/auntie_truth_ref_v2.jpg,repo,branding/character_reference/auntie_truth_ref_v2.jpg,2
2ec29f0c207e47d3644f5599d7db59b9e77b3e329d5ffc36a9d1294298774fce,2495674,clips/ep01_animated/dp01-s8b-2fa-animated.zip,repo,clips/ep01_animated/dp01-s8b-2fa-animated.zip,2
2f97cd9d8322ca3d09b9107b13c4dd2fceba1ad0fe59381f9204c346d1df9b5d,1061604,clips/library/at-lib-08.mp4,repo,clips/library/at-lib-08.mp4,3
32407e7239e869bfad5db4ac4d6bf75c55e25a77ec204a7be8cdfeb21e8dd353,2155883,episodes/EP02_Passwords_and_Password_Managers/02_beats/EP02_Beat03B_HollywoodMovieOnTV_TruthExplains.png,new,episodes/EP02_Passwords_and_Password_Managers/02_beats/    EP02_Beat03B_HollywoodMovieOnTV_TruthExplains.png,1
349c2f60ab81edce90c9ca12e9e5d557d89541d5e43fd1ad9fb7cdbdc47ddf9a,553040,clips/ep01/ep01-at06-wrapup.jpg,repo,clips/ep01/ep01-at06-wrapup.jpg,2
353fb06195bcc8099f31a41c48b5997f1b7e086815b5cb4c417f3c39ada31905,4961280,music/angelacreates-pink-fuzzy-cats-and-mushrooms-300624.mp3,repo,assets/music/angelacreates-pink-fuzzy-cats-and-mushrooms-300624.mp3,2
366f61179c0775e8452ee0c2cbcc98cfef258d5bcad2cdc21b3e97ca86fb9498,551351,branding/character_reference/truth_explains_youtube_banner_2048x1152.jpg,repo,branding/character_reference/truth_explains_youtube_banner_2048x1152.jpg,2
37ab3bd346542b1a6c69f9a472ba63f5dfc0622d665ef3a1f3db3ccfdb9e2834,1724544,audio/processed/video_08_ai.mp3,legacy,truth-explains-media/audio/processed/video_08_ai.mp3,1
37bc6e746b9ed3ad008742e24698e6d3dbb815bec27b08ec38cb4acfb5a93068,26420277,legacy-projects/remotion/clips/ep01/b-roll-06c.mp4,legacy,remotion/public/clips/ep01/b-roll-06c.mp4,1
3ab1b72fa8ec4c6f601385e543562e7212439ae12389ce343c909d5a17b181df,1331245,audio/processed/video_10_ai.mp3,legacy,truth-explains-media/audio/processed/video_10_ai.mp3,1
3b1763f1a0ab9c97745751a997b6006e1ff550d020c1a4907d0975985acac4a4,2476424,clips/ep01_animated/ep01-s5b-three-icons-animated.mp4,repo,clips/ep01_animated/ep01-s5b-three-icons-animated.mp4,2
3b8f18ee449f44784cb3c44b935fc749fa7dd9c29db17e6b99890762bbca0cd1,390576,clips/ep01/ep01-s2c-routine.jpg,repo,clips/ep01/ep01-s2c-routine.jpg,2
3e6593cc8cf27140f96554e8e0b4045065f219c62795357337e84ce1f53dcad8,442138,clips/ep01/ep01-s6c-stop.jpg,repo,clips/ep01/ep01-s6c-stop.jpg,2
3fa2f4d2c44c78ac8c09e431efcf83c0a718c08a6576d4e039e6ff714ef391b7,2329420,branding/character_reference/aunt_truth_illustrated_reference_v1.jpg.png,repo,branding/character_reference/aunt_truth_illustrated_reference_v1.jpg.png,2
3fb3417c93e0402dc5e5ea46e954f5226e8bf4369019ae231195d8d378204192,623399,clips/ep01/ep01-at10-subscribe.jpg,repo,clips/ep01/ep01-at10-subscribe.jpg,2
3fbe25714bd68874e99e7df74493d49ed57af39f93466257a06edef469142f49,5283679,clips/ep01_animated/ep01-s2c-routine-animated.mp4,repo,clips/ep01_animated/ep01-s2c-routine-animated.mp4,2
3fd1affec0d089e7583e44452c3e6455180d479527264e598e34aa38e66c2738,1104767,clips/ep01_animated/ep01-s2d-wantsin-animated.mp4,repo,clips/ep01_animated/ep01-s2d-wantsin-animated.mp4,2
404c596883f3a1b7450b010bf0f5f43a17800edf0ad1b835d5a6d62eff0092ed,559765,clips/ep01/ep01-at04-foundation.jpg,repo,clips/ep01/ep01-at04-foundation.jpg,2
414745804ccc41d1ae4aa7d7bc23f587e500a41d45be711a5ac7e75969fff9df,1994763,episodes/EP02_Passwords_and_Password_Managers/04_still_images/E02_B05E_The_Locked_Keychain.png,new,episodes/EP02_Passwords_and_Password_Managers/04_still_images/E02_B05E_The_Locked_Keychain.png,1
414e66dc950d0d862af124ae252cff9e777f749b8ef405bcbde3d4adfcf1a151,2004584,episodes/EP02_Passwords_and_Password_Managers/04_still_images/E02_B05K_Thirty_Second_Fix.png,new,episodes/EP02_Passwords_and_Password_Managers/04_still_images/E02_B05K_Thirty_Second_Fix.png,1
42df6cc31184e6d71e6f5ff00e2f1673583005eb7704d4cb1a5e2faa8bb8b3cf,2065554,audio/monume-background-music-519271.mp3,repo,audio/monume-background-music-519271.mp3,2
44d1f9e28d83afb97bf323950cb40c6372523278922de0a593fcc712540b8b33,1098023,audio/processed/video_05_ai.mp3,legacy,truth-explains-media/audio/processed/video_05_ai.mp3,1
45ca5f4907f927f18480928e8579fd77de48570d8321e5ae84622b6458ba0a54,1653909,audio/processed/video_02_ai.mp3,legacy,truth-explains-media/audio/processed/video_02_ai.mp3,1
4a949506e0056218feb5200fd17fbe1492568fb88e21a5155a8ef8a1237bf299,35410551,legacy-projects/remotion/clips/ep01/b-roll-03.mp4,legacy,remotion/public/clips/ep01/b-roll-03.mp4,1
4d06673ae72fe0b4504b164bb54af34ce786ea846178860be84fd320c1856248,25646402,legacy-projects/remotion/clips/ep01/b-roll-09.mp4,legacy,remotion/public/clips/ep01/b-roll-09.mp4,1
4da5de137a83821c58b4770dcf0482630367f910771ad1a56aa6492367bfb720,4109374,audio/studiokolomna-background-music-483818.mp3,repo,audio/studiokolomna-background-music-483818.mp3,2
4dce70ef72e2fc5aa2da6b57b77ed22310be1286f9e2850f01c54bcf75ef1613,600111,clips/ep01/ep01-at-why-it-matters.jpg,repo,clips/ep01/ep01-at-why-it-matters.jpg,2
4e52b798cedd4dfa999bcad2cae393a06dd2b19aa3dd68caa18e1dafc8d3acb1,1656835,audio/processed/video_07_ai.mp3,legacy,truth-explains-media/audio/processed/video_07_ai.mp3,1
4ed5e2e4f70406ee26a7cd391e313f98d6c4e25a2ce7384df7aa0eb0012835f7,2023085,clips/library/at-lib-09.mp4,repo,clips/library/at-lib-09.mp4,3
4fa59c7240ae7e59ec725826ff7a1e14d7b5a92abd6abd656e572fd4ae6ff148,1663703,campaigns/Campaign 01 - The Pause Is the Power/Assets/Images/campaign01_digital_life_square_1080x1080.png,repo,Campaigns/Campaign 01 - The Pause Is the Power /Assets/Images/campaign01_digital_life_square_1080x1080.png,2
4fcaefbacf606092d5ecde71dbaf6fe32a39e5f66a58357be6f9a8f7f553273b,608854,clips/ep01/ep01-at11-see-you-next-time.jpg,repo,clips/ep01/ep01-at11-see-you-next-time.jpg,2
503359091a39b59fd68625107d12e31e74dbd07ccfcc32dcbef066ceaffffc09,782898,legacy-projects/remotion/assets/aunt_truth_definitive.png,legacy,remotion/public/assets/aunt_truth_definitive.png,1
503a35470fc73a384c0e7274438601d2e1d74600aec2b1c7458e33ce67022b76,2573397,branding/character_reference/ep01_youtube_thumbnail_v1.png,repo,branding/character_reference/ep01_youtube_thumbnail_v1.png,2
5069d4166ef7199b484503e38bcefabb1faa615279be5558ab19790da1ec476c,2234383,branding/character_reference/aunt_truth_realistic_cyber_reference_v1.png,repo,branding/character_reference/aunt_truth_realistic_cyber_reference_v1.png,2
